iteration,mean_episode_reward,final_success_rate
1,-40.10353088378906,0.0
2,-40.246612548828125,0.0
3,-40.274620056152344,0.0
4,-40.31060028076172,0.0
5,-40.43514633178711,0.0
6,-40.238502502441406,0.0
7,-40.254493713378906,0.0
8,-40.052734375,0.0
9,-40.49015808105469,0.0
10,-40.13988494873047,0.0
11,-40.153236389160156,0.0
12,-40.353240966796875,0.0
13,-40.44070053100586,0.0
14,-40.36525344848633,0.0
15,-40.334930419921875,0.0
16,-40.41138458251953,0.0
17,-40.25788116455078,0.0
18,-40.04198455810547,0.0
19,-40.01301574707031,0.0
20,-39.97393035888672,0.0
21,-40.35407257080078,0.0
22,-40.28833770751953,0.0
23,-39.879493713378906,0.0
24,-40.1329231262207,0.0
25,-40.25615310668945,0.0
26,-40.037010192871094,0.0
27,-40.14053726196289,0.0
28,-39.779972076416016,0.0
29,-40.264347076416016,0.0
30,-39.97901153564453,0.0
31,-39.73873519897461,0.0
32,-39.81574249267578,0.0
33,-39.848297119140625,0.0
34,-39.677696228027344,0.0
35,-39.66218566894531,0.0
36,-39.636314392089844,0.0
37,-39.77627944946289,0.0
38,-39.52819061279297,0.0
39,-39.36541748046875,0.0
40,-39.465118408203125,0.0
41,-39.62473678588867,0.0
42,-39.475608825683594,0.0
43,-39.29894256591797,0.0
44,-39.374481201171875,0.0
45,-39.153045654296875,0.0
46,-39.30375289916992,0.0
47,-38.91805648803711,0.0
48,-39.33087158203125,0.0
49,-39.02064895629883,0.0
50,-39.07360076904297,0.0
51,-39.2677001953125,0.0
52,-38.862648010253906,0.0
53,-39.01880645751953,0.0
54,-38.79660415649414,0.0
55,-39.25727844238281,0.0
56,-39.27659225463867,0.0
57,-38.546669006347656,0.0
58,-38.740074157714844,0.0
59,-38.57848358154297,0.0
60,-38.869041442871094,0.0
61,-38.42338562011719,0.0
62,-38.893550872802734,0.0
63,-38.733253479003906,0.0
64,-38.5340461730957,0.0
65,-38.56037139892578,0.0
66,-38.247581481933594,0.0
67,-38.27375030517578,0.0
68,-38.10237121582031,0.0
69,-38.4020881652832,0.0
70,-38.32026672363281,0.0
71,-38.18988037109375,0.0
72,-38.062767028808594,0.0
73,-37.972625732421875,0.0
74,-37.97297668457031,0.0
75,-37.93227767944336,0.0
76,-38.00175857543945,0.0
77,-37.97782516479492,0.0
78,-37.66663360595703,0.0
79,-37.57848358154297,0.0
80,-37.671424865722656,0.0
81,-37.81328582763672,0.0
82,-37.84641647338867,0.0
83,-37.57741165161133,0.0
84,-37.485618591308594,0.0
85,-37.34295654296875,0.0
86,-37.704166412353516,0.0
87,-37.72069549560547,0.0
88,-37.37617874145508,0.0
89,-37.998939514160156,0.0
90,-37.20428466796875,0.0
91,-37.513370513916016,0.0
92,-37.39469909667969,0.0
93,-37.56462097167969,0.0
94,-37.79705810546875,0.0
95,-37.381839752197266,0.0
96,-37.232635498046875,0.0
97,-37.68016815185547,0.0
98,-37.19719696044922,0.0
99,-37.64223098754883,0.0
100,-37.45449447631836,0.0
101,-37.41947937011719,0.0
102,-37.193424224853516,0.0
103,-37.43687438964844,0.0
104,-37.587703704833984,0.0
105,-36.96527862548828,0.0
106,-37.58369064331055,0.0
107,-37.65306091308594,0.0
108,-37.21318817138672,0.0
109,-37.16545867919922,0.0
110,-37.24486541748047,0.0
111,-37.25946807861328,0.0
112,-37.13955307006836,0.0
113,-37.010948181152344,0.0
114,-36.824363708496094,0.0
115,-37.229087829589844,0.0
116,-37.443450927734375,0.0
117,-36.929237365722656,0.0
118,-37.486732482910156,0.0
119,-37.401248931884766,0.0
120,-36.755802154541016,0.0
121,-37.3961181640625,0.0
122,-36.9637565612793,0.0
123,-37.01226806640625,0.0
124,-36.66916275024414,0.0
125,-36.572723388671875,0.0
126,-37.39258575439453,0.0
127,-37.3072624206543,0.0
128,-36.67837905883789,0.0
129,-36.97354507446289,0.0
130,-37.174652099609375,0.0
131,-37.165672302246094,0.0
132,-37.26530075073242,0.0
133,-37.313194274902344,0.0
134,-37.22237014770508,0.0
135,-37.24833679199219,0.0
136,-36.87591552734375,0.0
137,-36.99226760864258,0.0
138,-37.15774917602539,0.0
139,-37.21138000488281,0.0
140,-37.01218795776367,0.0
141,-37.16072082519531,0.0
142,-36.708412170410156,0.0
143,-37.443843841552734,0.0
144,-37.38250732421875,0.0
145,-36.79542541503906,0.0
146,-37.0506591796875,0.0
147,-36.96054458618164,0.0
148,-37.0084228515625,0.0
149,-36.791160583496094,0.0
150,-37.162811279296875,0.0
151,-37.52764129638672,0.0
152,-36.784149169921875,0.0
153,-37.525108337402344,0.0
154,-37.04349136352539,0.0
155,-37.03607177734375,0.0
156,-36.73168182373047,0.0
157,-36.99216079711914,0.0
